ANO,CO_MUNICIPIO,NO_MUNICIPIO,MEDIA_ALUNOS_TURMA_ANOS_FINAIS
2023,3162559,São João do Manhuaçu,20.5
2023,3162575,São João do Manteninha,25.6
2023,3162609,São João do Oriente,27.9
2023,3162658,São João do Pacuí,23.5
2023,3162708,São João do Paraíso,28.6
2023,3162807,São João Evangelista,21.9
2023,3162906,São João Nepomuceno,23.5
2023,3162922,São Joaquim de Bicas,26.2
2023,3162948,São José da Barra,27.8
2023,3162955,São José da Lapa,29.0
2023,3163003,São José da Safira,22.1
2023,3163102,São José da Varginha,29.6
2023,3163201,São José do Alegre,21.4
2023,3163300,São José do Divino,29.4
2023,3163409,São José do Goiabal,29.7
2023,3163508,São José do Jacuri,21.9
2023,3163607,São José do Mantimento,22.4
2023,3163706,São Lourenço,27.9
2023,3163805,São Miguel do Anta,24.7
2023,3163904,São Pedro da União,31.5
2023,3164001,São Pedro dos Ferros,24.0
2023,3164100,São Pedro do Suaçuí,21.3
2023,3164209,São Romão,27.7
2023,3164308,São Roque de Minas,23.7
2023,3164407,São Sebastião da Bela Vista,30.2
2023,3164431,São Sebastião da Vargem Alegre,18.1
2023,3164472,São Sebastião do Anta,18.2
2023,3164506,São Sebastião do Maranhão,22.4
2023,3164605,São Sebastião do Oeste,19.3
2023,3164704,São Sebastião do Paraíso,28.2
2023,3164803,São Sebastião do Rio Preto,16.8
2023,3164902,São Sebastião do Rio Verde,24.8
2023,3165008,São Tiago,29.0
2023,3165107,São Tomás de Aquino,29.0
2023,3165206,São Tomé das Letras,24.0
2023,3165305,São Vicente de Minas,28.2
2023,3165404,Sapucaí-Mirim,22.0
2023,3165503,Sardoá,20.3
2023,3165537,Sarzedo,31.4
2023,3165552,Setubinha,20.4
2023,3165560,Sem-Peixe,24.8
2023,3165578,Senador Amaral,25.8
2023,3165602,Senador Cortes,16.9
2023,3165701,Senador Firmino,29.7
2023,3165800,Senador José Bento,18.3
2023,3165909,Senador Modestino Gonçalves,29.0
2023,3166006,Senhora de Oliveira,27.7
2023,3166105,Senhora do Porto,24.0
2023,3166204,Senhora dos Remédios,19.9
2023,3166303,Sericita,28.8
2023,3166402,Seritinga,22.8
2023,3166501,Serra Azul de Minas,27.8
2023,3166600,Serra da Saudade,7.0
2023,3166709,Serra dos Aimorés,27.2
2023,3166808,Serra do Salitre,24.4
2023,3166907,Serrania,31.0
2023,3166956,Serranópolis de Minas,18.8
2023,3167004,Serranos,17.4
2023,3167103,Serro,23.0
2023,3167202,Sete Lagoas,27.6
2023,3167301,Silveirânia,24.9
2023,3167400,Silvianópolis,32.3
2023,3167509,Simão Pereira,17.5
2023,3167608,Simonésia,20.1
2023,3167707,Sobrália,16.9
2023,3167806,Soledade de Minas,30.0
2023,3167905,Tabuleiro,23.6
2023,3168002,Taiobeiras,31.2
2023,3168051,Taparuba,16.6
2023,3168101,Tapira,19.2
2023,3168200,Tapiraí,10.1
2023,3168309,Taquaraçu de Minas,27.7
2023,3168408,Tarumirim,19.7
2023,3168507,Teixeiras,25.0
2023,3168606,Teófilo Otoni,27.3
2023,3168705,Timóteo,24.8
2023,3168804,Tiradentes,25.4
2023,3168903,Tiros,29.7
2023,3169000,Tocantins,32.5
2023,3169059,Tocos do Moji,15.3
2023,3169109,Toledo,30.9
2023,3169208,Tombos,23.4
2023,3169307,Três Corações,28.7
2023,3169356,Três Marias,25.8
2023,3169406,Três Pontas,30.5
2023,3169505,Tumiritinga,20.9
2023,3169604,Tupaciguara,22.8
2023,3169703,Turmalina,25.0
2023,3169802,Turvolândia,28.8
2023,3169901,Ubá,27.4
2023,3170008,Ubaí,24.4
2023,3170057,Ubaporanga,25.8
2023,3170107,Uberaba,26.6
2023,3170206,Uberlândia,29.5
2023,3170305,Umburatiba,22.1
2023,3170404,Unaí,24.4
2023,3170438,União de Minas,26.7
2023,3170479,Uruana de Minas,15.4
2023,3170503,Urucânia,28.8
2023,3170529,Urucuia,20.3
2023,3170578,Vargem Alegre,29.6
2023,3170602,Vargem Bonita,32.5
2023,3170651,Vargem Grande do Rio Pardo,30.9
2023,3170701,Varginha,27.4
2023,3170750,Varjão de Minas,31.2
2023,3170800,Várzea da Palma,25.2
2023,3170909,Varzelândia,17.7
2023,3171006,Vazante,19.5
2023,3171030,Verdelândia,20.2
2023,3171071,Veredinha,20.3
2023,3171105,Veríssimo,21.4
2023,3171154,Vermelho Novo,25.0
2023,3171204,Vespasiano,29.0
2023,3171303,Viçosa,22.8
2023,3171402,Vieiras,18.8
2023,3171501,Mathias Lobato,24.3
2023,3171600,Virgem da Lapa,25.1
2023,3171709,Virgínia,30.5
2023,3171808,Virginópolis,23.6
2023,3171907,Virgolândia,18.6
2023,3172004,Visconde do Rio Branco,30.6
2023,3172103,Volta Grande,21.7
2023,3172202,Wenceslau Braz,23.7
