ANO,CO_MUNICIPIO,NO_MUNICIPIO,TDI_ANOS_FINAIS
2023,3162575,São João do Manteninha,7.1
2023,3162609,São João do Oriente,13.3
2023,3162658,São João do Pacuí,2.0
2023,3162708,São João do Paraíso,5.4
2023,3162807,São João Evangelista,7.9
2023,3162906,São João Nepomuceno,22.2
2023,3162922,São Joaquim de Bicas,17.1
2023,3162948,São José da Barra,7.4
2023,3162955,São José da Lapa,14.8
2023,3163003,São José da Safira,18.3
2023,3163102,São José da Varginha,9.3
2023,3163201,São José do Alegre,8.5
2023,3163300,São José do Divino,13.2
2023,3163409,São José do Goiabal,13.8
2023,3163508,São José do Jacuri,10.6
2023,3163607,São José do Mantimento,10.6
2023,3163706,São Lourenço,16.5
2023,3163805,São Miguel do Anta,13.7
2023,3163904,São Pedro da União,9.9
2023,3164001,São Pedro dos Ferros,18.4
2023,3164100,São Pedro do Suaçuí,12.5
2023,3164209,São Romão,12.9
2023,3164308,São Roque de Minas,5.8
2023,3164407,São Sebastião da Bela Vista,9.4
2023,3164431,São Sebastião da Vargem Alegre,11.1
2023,3164472,São Sebastião do Anta,10.0
2023,3164506,São Sebastião do Maranhão,2.9
2023,3164605,São Sebastião do Oeste,17.4
2023,3164704,São Sebastião do Paraíso,11.7
2023,3164803,São Sebastião do Rio Preto,3.0
2023,3164902,São Sebastião do Rio Verde,6.7
2023,3165008,São Tiago,8.5
2023,3165107,São Tomás de Aquino,19.5
2023,3165206,São Tomé das Letras,5.9
2023,3165305,São Vicente de Minas,17.2
2023,3165404,Sapucaí-Mirim,4.3
2023,3165503,Sardoá,14.5
2023,3165537,Sarzedo,10.5
2023,3165552,Setubinha,12.1
2023,3165560,Sem-Peixe,9.1
2023,3165578,Senador Amaral,10.0
2023,3165602,Senador Cortes,17.8
2023,3165701,Senador Firmino,8.5
2023,3165800,Senador José Bento,5.5
2023,3165909,Senador Modestino Gonçalves,9.5
2023,3166006,Senhora de Oliveira,16.4
2023,3166105,Senhora do Porto,17.7
2023,3166204,Senhora dos Remédios,4.0
2023,3166303,Sericita,10.4
2023,3166402,Seritinga,12.1
2023,3166501,Serra Azul de Minas,11.2
2023,3166600,Serra da Saudade,10.7
2023,3166709,Serra dos Aimorés,16.2
2023,3166808,Serra do Salitre,9.1
2023,3166907,Serrania,12.9
2023,3166956,Serranópolis de Minas,6.0
2023,3167004,Serranos,14.9
2023,3167103,Serro,8.5
2023,3167202,Sete Lagoas,10.8
2023,3167301,Silveirânia,13.8
2023,3167400,Silvianópolis,15.9
2023,3167509,Simão Pereira,22.9
2023,3167608,Simonésia,11.4
2023,3167707,Sobrália,9.6
2023,3167806,Soledade de Minas,17.0
2023,3167905,Tabuleiro,24.9
2023,3168002,Taiobeiras,5.9
2023,3168051,Taparuba,4.5
2023,3168101,Tapira,25.1
2023,3168200,Tapiraí,8.6
2023,3168309,Taquaraçu de Minas,4.0
2023,3168408,Tarumirim,7.6
2023,3168507,Teixeiras,18.8
2023,3168606,Teófilo Otoni,21.0
2023,3168705,Timóteo,9.7
2023,3168804,Tiradentes,24.8
2023,3168903,Tiros,13.5
2023,3169000,Tocantins,8.6
2023,3169059,Tocos do Moji,9.8
2023,3169109,Toledo,18.9
2023,3169208,Tombos,15.2
2023,3169307,Três Corações,11.0
2023,3169356,Três Marias,5.8
2023,3169406,Três Pontas,6.1
2023,3169505,Tumiritinga,8.2
2023,3169604,Tupaciguara,13.1
2023,3169703,Turmalina,9.5
2023,3169802,Turvolândia,10.8
2023,3169901,Ubá,14.2
2023,3170008,Ubaí,9.1
2023,3170057,Ubaporanga,9.8
2023,3170107,Uberaba,17.1
2023,3170206,Uberlândia,17.3
2023,3170305,Umburatiba,18.6
2023,3170404,Unaí,9.8
2023,3170438,União de Minas,25.0
2023,3170479,Uruana de Minas,5.5
2023,3170503,Urucânia,20.4
2023,3170529,Urucuia,10.2
2023,3170578,Vargem Alegre,15.0
2023,3170602,Vargem Bonita,8.5
2023,3170651,Vargem Grande do Rio Pardo,4.9
2023,3170701,Varginha,12.2
2023,3170750,Varjão de Minas,9.8
2023,3170800,Várzea da Palma,10.5
2023,3170909,Varzelândia,8.3
2023,3171006,Vazante,4.5
2023,3171030,Verdelândia,3.2
2023,3171071,Veredinha,4.5
2023,3171105,Veríssimo,28.1
2023,3171154,Vermelho Novo,8.0
2023,3171204,Vespasiano,12.3
2023,3171303,Viçosa,17.0
2023,3171402,Vieiras,18.6
2023,3171501,Mathias Lobato,11.4
2023,3171600,Virgem da Lapa,10.5
2023,3171709,Virgínia,8.3
2023,3171808,Virginópolis,19.9
2023,3171907,Virgolândia,5.7
2023,3172004,Visconde do Rio Branco,13.8
2023,3172103,Volta Grande,14.7
2023,3172202,Wenceslau Braz,8.5
