ANO,CO_MUNICIPIO,NO_MUNICIPIO,TAXA_ABANDONO_ANOS_FINAIS
2023,3162302,São João da Mata,1.2
2023,3162401,São João da Ponte,1.4
2023,3162450,São João das Missões,4.9
2023,3162500,São João del Rei,1.4
2023,3162559,São João do Manhuaçu,3.9
2023,3162575,São João do Manteninha,2.5
2023,3162609,São João do Oriente,1.8
2023,3162658,São João do Pacuí,0.8
2023,3162708,São João do Paraíso,0.4
2023,3162807,São João Evangelista,0.5
2023,3162906,São João Nepomuceno,1.5
2023,3162922,São Joaquim de Bicas,0.8
2023,3162948,São José da Barra,0.5
2023,3162955,São José da Lapa,0.6
2023,3163003,São José da Safira,4.9
2023,3163102,São José da Varginha,0.9
2023,3163201,São José do Alegre,0.4
2023,3163300,São José do Divino,2.2
2023,3163409,São José do Goiabal,0.0
2023,3163508,São José do Jacuri,0.0
2023,3163607,São José do Mantimento,0.6
2023,3163706,São Lourenço,0.8
2023,3163805,São Miguel do Anta,0.0
2023,3163904,São Pedro da União,0.4
2023,3164001,São Pedro dos Ferros,1.9
2023,3164100,São Pedro do Suaçuí,0.8
2023,3164209,São Romão,0.6
2023,3164308,São Roque de Minas,0.0
2023,3164407,São Sebastião da Bela Vista,0.0
2023,3164431,São Sebastião da Vargem Alegre,0.9
2023,3164472,São Sebastião do Anta,0.0
2023,3164506,São Sebastião do Maranhão,1.8
2023,3164605,São Sebastião do Oeste,0.0
2023,3164704,São Sebastião do Paraíso,0.8
2023,3164803,São Sebastião do Rio Preto,0.0
2023,3164902,São Sebastião do Rio Verde,0.7
2023,3165008,São Tiago,2.1
2023,3165107,São Tomás de Aquino,6.8
2023,3165206,São Tomé das Letras,0.7
2023,3165305,São Vicente de Minas,2.2
2023,3165404,Sapucaí-Mirim,0.0
2023,3165503,Sardoá,0.3
2023,3165537,Sarzedo,2.0
2023,3165552,Setubinha,2.1
2023,3165560,Sem-Peixe,0.0
2023,3165578,Senador Amaral,4.5
2023,3165602,Senador Cortes,0.7
2023,3165701,Senador Firmino,0.0
2023,3165800,Senador José Bento,0.0
2023,3165909,Senador Modestino Gonçalves,0.0
2023,3166006,Senhora de Oliveira,1.6
2023,3166105,Senhora do Porto,2.1
2023,3166204,Senhora dos Remédios,0.2
2023,3166303,Sericita,2.7
2023,3166402,Seritinga,0.0
2023,3166501,Serra Azul de Minas,1.8
2023,3166600,Serra da Saudade,0.0
2023,3166709,Serra dos Aimorés,0.8
2023,3166808,Serra do Salitre,0.6
2023,3166907,Serrania,1.9
2023,3166956,Serranópolis de Minas,1.8
2023,3167004,Serranos,1.2
2023,3167103,Serro,0.7
2023,3167202,Sete Lagoas,1.3
2023,3167301,Silveirânia,1.8
2023,3167400,Silvianópolis,0.8
2023,3167509,Simão Pereira,0.9
2023,3167608,Simonésia,3.4
2023,3167707,Sobrália,1.1
2023,3167806,Soledade de Minas,0.0
2023,3167905,Tabuleiro,5.2
2023,3168002,Taiobeiras,0.9
2023,3168051,Taparuba,0.0
2023,3168101,Tapira,0.7
2023,3168200,Tapiraí,0.0
2023,3168309,Taquaraçu de Minas,0.0
2023,3168408,Tarumirim,2.3
2023,3168507,Teixeiras,0.5
2023,3168606,Teófilo Otoni,2.0
2023,3168705,Timóteo,1.3
2023,3168804,Tiradentes,4.8
2023,3168903,Tiros,7.3
2023,3169000,Tocantins,0.5
2023,3169059,Tocos do Moji,0.0
2023,3169109,Toledo,2.5
2023,3169208,Tombos,0.0
2023,3169307,Três Corações,2.9
2023,3169356,Três Marias,0.8
2023,3169406,Três Pontas,2.1
2023,3169505,Tumiritinga,0.3
2023,3169604,Tupaciguara,1.0
2023,3169703,Turmalina,0.5
2023,3169802,Turvolândia,4.1
2023,3169901,Ubá,0.4
2023,3170008,Ubaí,3.8
2023,3170057,Ubaporanga,1.9
2023,3170107,Uberaba,1.1
2023,3170206,Uberlândia,1.3
2023,3170305,Umburatiba,2.3
2023,3170404,Unaí,0.6
2023,3170438,União de Minas,3.2
2023,3170479,Uruana de Minas,0.5
2023,3170503,Urucânia,4.2
2023,3170529,Urucuia,2.8
2023,3170578,Vargem Alegre,1.9
2023,3170602,Vargem Bonita,0.8
2023,3170651,Vargem Grande do Rio Pardo,0.0
2023,3170701,Varginha,2.0
2023,3170750,Varjão de Minas,2.6
2023,3170800,Várzea da Palma,2.1
2023,3170909,Varzelândia,1.2
2023,3171006,Vazante,0.5
2023,3171030,Verdelândia,0.2
2023,3171071,Veredinha,0.4
2023,3171105,Veríssimo,0.0
2023,3171154,Vermelho Novo,1.0
2023,3171204,Vespasiano,0.9
2023,3171303,Viçosa,1.6
2023,3171402,Vieiras,0.0
2023,3171501,Mathias Lobato,0.0
2023,3171600,Virgem da Lapa,0.3
2023,3171709,Virgínia,1.1
2023,3171808,Virginópolis,2.2
2023,3171907,Virgolândia,0.0
2023,3172004,Visconde do Rio Branco,1.7
2023,3172103,Volta Grande,0.0
2023,3172202,Wenceslau Braz,0.0
